agent,kind,risk,dose,configured_dose,outcome,paired_n,mean_delta,ci_low,ci_high,permutation_p_value,q_value,cohens_d
poe:gemini-3.1-pro,win_streak,max-position,3.0,5.0,hold_ratio,30,-0.018287037037037036,-0.038194444444444454,7.401486830834377e-18,0.07896051974012994,0.7018712865789328,-0.32979213532804674
poe:gemini-3.1-pro,win_streak,none,1.0,1.0,hold_ratio,10,-0.006250000000000011,-0.029166666666666667,0.013194444444444453,0.6640625,0.9938524590163934,-0.1711399165377362
poe:gemini-3.1-pro,win_streak,none,3.0,5.0,hold_ratio,30,-0.00717592592592593,-0.01782407407407408,0.003935185185185166,0.24537731134432783,0.8333333333333334,-0.22366900579061785
poe:gpt-5.5,win_streak,max-position,1.0,1.0,hold_ratio,10,0.0,0.0,0.0,1.0,1.0,0.0
poe:gpt-5.5,win_streak,max-position,3.0,5.0,hold_ratio,10,0.0,0.0,0.0,1.0,1.0,0.0
poe:gpt-5.5,win_streak,none,1.0,1.0,hold_ratio,10,0.0,0.0,0.0,1.0,1.0,0.0
poe:gpt-5.5,win_streak,none,3.0,5.0,hold_ratio,10,0.0,0.0,0.0,1.0,1.0,0.0
deepseek:deepseek-v4-pro,win_streak,max-position,1.0,1.0,turnover_events,10,1.2666666666666668,-0.966666666666667,3.6333333333333337,0.3515625,0.9523809523809523,0.32146491979139585
deepseek:deepseek-v4-pro,win_streak,max-position,3.0,5.0,turnover_events,30,5.644444444444444,3.066666666666667,8.422222222222222,0.0004997501249375312,0.039980009995002494,0.7164497516513365
deepseek:deepseek-v4-pro,win_streak,none,1.0,1.0,turnover_events,10,0.6000000000000003,-1.866666666666666,3.1000000000000005,0.6796875,0.9938524590163934,0.14038528839262435
deepseek:deepseek-v4-pro,win_streak,none,3.0,5.0,turnover_events,30,0.8000000000000003,-0.4666666666666663,2.1111111111111116,0.23488255872063968,0.8333333333333334,0.2274378643998506
glm:glm-5,win_streak,max-position,1.0,1.0,turnover_events,10,0.0,-0.2,0.2000000000000007,1.0,1.0,0.0
glm:glm-5,win_streak,max-position,3.0,5.0,turnover_events,30,-0.022222222222221668,-0.3555555555555543,0.25555555555555665,0.9510244877561219,1.0,-0.025144015103614952
glm:glm-5,win_streak,none,1.0,1.0,turnover_events,10,0.7000000000000004,-0.7999999999999996,2.2333333333333334,0.41015625,0.9523809523809523,0.2679274770071772
glm:glm-5,win_streak,none,3.0,5.0,turnover_events,30,0.30000000000000016,-0.9777777777777776,1.5444444444444445,0.656671664167916,0.9938524590163934,0.08433482443455986
poe:claude-opus-4.7,win_streak,max-position,1.0,1.0,turnover_events,10,0.06666666666666643,-0.06666666666666714,0.23333333333333287,0.75,0.9938524590163934,0.25354627641855404
poe:claude-opus-4.7,win_streak,max-position,3.0,5.0,turnover_events,30,-0.1777777777777781,-0.41111111111111165,0.05555555555555477,0.16891554222888555,0.8333333333333334,-0.2720352730670488
poe:claude-opus-4.7,win_streak,none,1.0,1.0,turnover_events,10,0.5333333333333332,-0.4666666666666675,1.6333333333333333,0.4375,0.9523809523809523,0.2856333353554674
poe:claude-opus-4.7,win_streak,none,3.0,5.0,turnover_events,30,0.7888888888888889,0.17777777777777745,1.4888888888888887,0.02348825587206397,0.3131767449608529,0.42602262387108975
poe:gemini-3.1-pro,win_streak,max-position,1.0,1.0,turnover_events,10,-0.13333333333333286,-0.7666666666666672,0.4999999999999993,0.7578125,0.9938524590163934,-0.11976071760836955
poe:gemini-3.1-pro,win_streak,max-position,3.0,5.0,turnover_events,30,0.05555555555555666,-0.3888888888888874,0.5222222222222226,0.8205897051474262,1.0,0.04165918544447478
poe:gemini-3.1-pro,win_streak,none,1.0,1.0,turnover_events,10,0.13333333333333358,-0.9,1.3333333333333344,0.896484375,1.0,0.06993786061802364
poe:gemini-3.1-pro,win_streak,none,3.0,5.0,turnover_events,30,-0.1777777777777781,-0.7333333333333336,0.3333333333333332,0.5702148925537232,0.9916780740064751,-0.11357657587597901
