universe,scenario_key,scenario_id,scenario_label,provider,model,baseline_label,baseline_family,strategy,data_source,frequency,symbols,data_hash,total_return,max_drawdown,sharpe,execution_fill_rate,rejected_order_count,risk_clipped_decisions,risk_violation_count,trajectory_reproducibility_coverage,alpha_pre_risk_total_return,alpha_pre_risk_sharpe,alpha_pre_risk_hit_rate,alpha_pre_risk_steps,alpha_quality_score,risk_discipline_score,execution_robustness_score
synthetic,liquidity_collapse,leaderboard_llm_liquidity_collapse_synthetic_v0_1,Liquidity collapse,deterministic,min_var,Minimum variance,covariance_weighted,min-var,synthetic-market,daily,SYN;ALT,sha256:synthetic-liquidity_collapse-seed-41-symbols-SYN-ALT-periods-8,0.09068441018345963,-0.0028832641733815834,10.729128402097622,0.875,0,0,2,1.0,0.06480384858828026,6.467366377066851,0.7142857142857143,7,0.8636658021807735,0.625,0.7572347204416963
synthetic,liquidity_collapse,leaderboard_llm_liquidity_collapse_synthetic_v0_1,Liquidity collapse,deterministic,markowitz_mvo,Markowitz MVO,mean_variance_weighted,markowitz-mvo,synthetic-market,daily,SYN;ALT,sha256:synthetic-liquidity_collapse-seed-41-symbols-SYN-ALT-periods-8,0.06126451913146469,-0.0028832641733815834,14.746747662281141,0.8125,1,0,4,1.0,0.04951495997133781,8.157415611374624,0.8571428571428571,7,0.8578372313640816,0.25,0.7739461911029373
synthetic,spread_explosion,leaderboard_llm_spread_explosion_synthetic_v0_1,Spread explosion,deterministic,always_hold,Always hold,lower_anchor,always-hold,synthetic-market,daily,SYN;ALT,sha256:synthetic-spread_explosion-seed-53-symbols-SYN-ALT-periods-8,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0,0.3416666666666667,1.0,1.0
synthetic,spread_explosion,leaderboard_llm_spread_explosion_synthetic_v0_1,Spread explosion,deterministic,random,Random,lower_anchor,random,synthetic-market,daily,SYN;ALT,sha256:synthetic-spread_explosion-seed-53-symbols-SYN-ALT-periods-8,-0.0007107580610568043,-0.03919855744781997,0.03720184332012039,0.75,2,0,6,1.0,0.054142366244284146,22.30895732061278,0.8,5,0.8568203240496394,0.125,0.5269256191616599
synthetic,spread_explosion,leaderboard_llm_spread_explosion_synthetic_v0_1,Spread explosion,deterministic,buy_and_hold,Buy and hold,passive,buy-and-hold,synthetic-market,daily,SYN;ALT,sha256:synthetic-spread_explosion-seed-53-symbols-SYN-ALT-periods-8,0.01074762609261648,-0.020281957131582873,2.404468699763314,0.8,1,16,0,1.0,0.05431841130469617,7.6706138674382665,0.5714285714285714,7,0.8115021397212807,0.5,0.6814747710913317
synthetic,spread_explosion,leaderboard_llm_spread_explosion_synthetic_v0_1,Spread explosion,deterministic,equal_weight,Equal weight,passive_rebalance,equal-weight,synthetic-market,daily,SYN;ALT,sha256:synthetic-spread_explosion-seed-53-symbols-SYN-ALT-periods-8,0.0037137122606345496,-0.03259688190119414,0.6362039710217827,0.8,1,0,0,1.0,0.03792744344271459,7.6706138674382665,0.5714285714285714,7,0.7746224620318222,1.0,0.6690314092805697
synthetic,spread_explosion,leaderboard_llm_spread_explosion_synthetic_v0_1,Spread explosion,deterministic,naive_momentum,Naive momentum,trend_following,naive-momentum,synthetic-market,daily,SYN;ALT,sha256:synthetic-spread_explosion-seed-53-symbols-SYN-ALT-periods-8,-0.026783034992706956,-0.03805515654184377,-5.053190455624584,0.8333333333333334,0,0,5,1.0,0.028922558601258253,7.287751689489489,0.6666666666666666,6,0.7734090901861643,0.0625,0.646383596046073
synthetic,spread_explosion,leaderboard_llm_spread_explosion_synthetic_v0_1,Spread explosion,deterministic,mean_reversion,Mean reversion,contrarian,mean-reversion,synthetic-market,daily,SYN;ALT,sha256:synthetic-spread_explosion-seed-53-symbols-SYN-ALT-periods-8,-0.010430389582009258,-0.010430389582009258,-10.376989488828194,1.0,0,0,13,1.0,0.007673656933028461,9.500337554924668,0.6666666666666666,3,0.7255990614326473,0.0,0.8843109068296373
synthetic,spread_explosion,leaderboard_llm_spread_explosion_synthetic_v0_1,Spread explosion,deterministic,risk_parity,Risk parity,volatility_weighted,risk-parity,synthetic-market,daily,SYN;ALT,sha256:synthetic-spread_explosion-seed-53-symbols-SYN-ALT-periods-8,0.0017299863017847805,-0.03418154508573645,0.35422380611840176,0.8125,1,0,0,1.0,0.03604388817625925,7.53044317723357,0.5714285714285714,7,0.7703844626822977,1.0,0.6513075155292943
synthetic,spread_explosion,leaderboard_llm_spread_explosion_synthetic_v0_1,Spread explosion,deterministic,min_var,Minimum variance,covariance_weighted,min-var,synthetic-market,daily,SYN;ALT,sha256:synthetic-spread_explosion-seed-53-symbols-SYN-ALT-periods-8,0.004633100244857857,-0.03821073838806466,0.7300086592633176,0.8125,1,0,1,1.0,0.04141267238553481,8.078866423558821,0.5714285714285714,7,0.7824642271531677,0.8125,0.6212078346158638
synthetic,spread_explosion,leaderboard_llm_spread_explosion_synthetic_v0_1,Spread explosion,deterministic,markowitz_mvo,Markowitz MVO,mean_variance_weighted,markowitz-mvo,synthetic-market,daily,SYN;ALT,sha256:synthetic-spread_explosion-seed-53-symbols-SYN-ALT-periods-8,-0.001510042739104489,-0.03602256116928271,-0.10925667941316727,0.75,2,0,1,1.0,0.036884704713577854,7.358520803988449,0.5714285714285714,7,0.7722762998912645,0.8125,0.597413293031859
synthetic,latency_spike,leaderboard_llm_latency_spike_synthetic_v0_1,Latency spike,deterministic,always_hold,Always hold,lower_anchor,always-hold,synthetic-market,daily,SYN;ALT,sha256:synthetic-latency_spike-seed-65-symbols-SYN-ALT-periods-8,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0,0.3416666666666667,1.0,1.0
synthetic,latency_spike,leaderboard_llm_latency_spike_synthetic_v0_1,Latency spike,deterministic,random,Random,lower_anchor,random,synthetic-market,daily,SYN;ALT,sha256:synthetic-latency_spike-seed-65-symbols-SYN-ALT-periods-8,0.019712078721168425,-0.010992481763758666,4.315331652186966,0.21428571428571427,3,0,2,1.0,0.04528650576598703,10.880863542910355,0.6666666666666666,6,0.8102279713068041,0.625,0.45591455346773463
synthetic,latency_spike,leaderboard_llm_latency_spike_synthetic_v0_1,Latency spike,deterministic,buy_and_hold,Buy and hold,passive,buy-and-hold,synthetic-market,daily,SYN;ALT,sha256:synthetic-latency_spike-seed-65-symbols-SYN-ALT-periods-8,0.03290557483821965,-0.009126731449652481,5.679830335254814,0.1875,5,16,0,1.0,0.0903281965851821,12.1245064987916,0.7142857142857143,7,0.9210955851738026,0.5,0.44881251183135434
synthetic,latency_spike,leaderboard_llm_latency_spike_synthetic_v0_1,Latency spike,deterministic,equal_weight,Equal weight,passive_rebalance,equal-weight,synthetic-market,daily,SYN;ALT,sha256:synthetic-latency_spike-seed-65-symbols-SYN-ALT-periods-8,0.027597063054444204,-0.011011830267204314,4.91320417689668,0.1875,5,0,0,1.0,0.06269895552055638,12.1245064987916,0.7142857142857143,7,0.8589297927783948,1.0,0.42693039867392746
synthetic,latency_spike,leaderboard_llm_latency_spike_synthetic_v0_1,Latency spike,deterministic,naive_momentum,Naive momentum,trend_following,naive-momentum,synthetic-market,daily,SYN;ALT,sha256:synthetic-latency_spike-seed-65-symbols-SYN-ALT-periods-8,0.0010006922786887085,-0.01326271723652983,0.3667793375159909,0.3,1,0,7,1.0,0.039393544034492356,8.39573444495203,0.5,6,0.7636354740776078,0.0,0.4907510124053429
synthetic,latency_spike,leaderboard_llm_latency_spike_synthetic_v0_1,Latency spike,deterministic,mean_reversion,Mean reversion,contrarian,mean-reversion,synthetic-market,daily,SYN;ALT,sha256:synthetic-latency_spike-seed-65-symbols-SYN-ALT-periods-8,0.004174313459932133,-0.001083528133489331,4.52058804373623,0.3333333333333333,0,0,11,1.0,0.008082553949504412,2.888044107647935,0.6,5,0.6483216526658477,0.0,0.600326652414389
synthetic,latency_spike,leaderboard_llm_latency_spike_synthetic_v0_1,Latency spike,deterministic,risk_parity,Risk parity,volatility_weighted,risk-parity,synthetic-market,daily,SYN;ALT,sha256:synthetic-latency_spike-seed-65-symbols-SYN-ALT-periods-8,0.027597063054444204,-0.011011830267204314,4.91320417689668,0.1875,5,0,0,1.0,0.07102167579459273,13.35652416742509,0.7142857142857143,7,0.8776559133949765,1.0,0.42693039867392746
synthetic,latency_spike,leaderboard_llm_latency_spike_synthetic_v0_1,Latency spike,deterministic,min_var,Minimum variance,covariance_weighted,min-var,synthetic-market,daily,SYN;ALT,sha256:synthetic-latency_spike-seed-65-symbols-SYN-ALT-periods-8,0.027597063054444204,-0.011011830267204314,4.91320417689668,0.1875,5,0,0,1.0,0.06466841011465152,12.496118952175635,0.7142857142857143,7,0.8633610656151088,1.0,0.42693039867392746
synthetic,latency_spike,leaderboard_llm_latency_spike_synthetic_v0_1,Latency spike,deterministic,markowitz_mvo,Markowitz MVO,mean_variance_weighted,markowitz-mvo,synthetic-market,daily,SYN;ALT,sha256:synthetic-latency_spike-seed-65-symbols-SYN-ALT-periods-8,0.027597063054444204,-0.011011830267204314,4.91320417689668,0.1875,5,0,0,1.0,0.06708621323387609,12.803559629502491,0.7142857142857143,7,0.8688011226333642,1.0,0.42693039867392746
