agent,kind,risk,dose,configured_dose,outcome,paired_n,mean_delta,ci_low,ci_high,permutation_p_value,q_value,cohens_d
poe:claude-opus-4.7,fake_rejections,none,0.75,0.75,total_return,30,-0.0013985223174926961,-0.005255639360608035,0.002348488063835893,0.5162418790604698,0.8579710144927536,-0.1252663205737015
poe:claude-opus-4.7,fake_violations,max-position,0.25,0.25,total_return,10,0.00224776520843471,-0.00039406524840769895,0.005180481040069007,0.25,0.6575342465753424,0.4765865987603872
poe:claude-opus-4.7,fake_violations,max-position,0.75,0.75,total_return,30,0.0008599075337344002,-0.0006264853491927323,0.002272556428888058,0.26936531734132935,0.6630530888401953,0.20642848783058887
poe:claude-opus-4.7,fake_violations,none,0.25,0.25,total_return,10,-0.0024973496686973044,-0.006261276353290766,0.0014069279851187306,0.24609375,0.6575342465753424,-0.3797070621846409
poe:claude-opus-4.7,fake_violations,none,0.75,0.75,total_return,30,-0.007643997864830198,-0.013572412963837495,-0.0022871540348857566,0.01199400299850075,0.12120255661642862,-0.4770925084732589
poe:gemini-3.1-pro,fake_rejections,max-position,0.25,0.25,total_return,10,-0.00452890304509915,-0.010565353198457526,0.0007257931857575783,0.181640625,0.6227678571428571,-0.48000351463241586
poe:gemini-3.1-pro,fake_rejections,max-position,0.75,0.75,total_return,30,-0.004985770412860814,-0.009324939914539622,-0.0008735556350264036,0.028985507246376812,0.19875776397515527,-0.41273949498997037
poe:gemini-3.1-pro,fake_rejections,none,0.25,0.25,total_return,10,-0.012426474549799399,-0.02758618617555883,-0.002700084930842257,0.025390625,0.18055555555555555,-0.5818808649865942
poe:gemini-3.1-pro,fake_rejections,none,0.75,0.75,total_return,30,-0.02108029524758641,-0.03003824037151848,-0.012730811259420171,0.0004997501249375312,0.010661335998667332,-0.8619832480235604
poe:gemini-3.1-pro,fake_violations,max-position,0.25,0.25,total_return,10,-0.005956191639930123,-0.00986959839795977,-0.0027275890309406275,0.005859375,0.07676161919040479,-0.9787055194013683
poe:gemini-3.1-pro,fake_violations,max-position,0.75,0.75,total_return,30,-0.012774168920268388,-0.018535810863328336,-0.007440193627557699,0.0004997501249375312,0.010661335998667332,-0.8111857171032326
poe:gemini-3.1-pro,fake_violations,none,0.25,0.25,total_return,10,-0.005719558539093947,-0.020016434365872433,0.006347335903766965,0.419921875,0.83984375,-0.25670232059047254
poe:gemini-3.1-pro,fake_violations,none,0.75,0.75,total_return,30,-0.0308919508841394,-0.04261885032519179,-0.019314409054657474,0.0004997501249375312,0.010661335998667332,-0.930805660156798
poe:glm-5,fake_rejections,max-position,0.25,0.25,total_return,5,0.0026853098608277544,-0.0004816800095726631,0.006511997742359134,0.375,0.7912087912087912,0.6113856902411916
poe:glm-5,fake_rejections,max-position,0.75,0.75,total_return,5,0.0023198043834856616,-0.0005779810570492733,0.0056803789299734245,0.375,0.7912087912087912,0.5885435858462648
poe:glm-5,fake_rejections,none,0.25,0.25,total_return,5,0.0035506696596724245,-0.001151063385480755,0.00835201546111528,0.4375,0.8421052631578947,0.569494206712625
poe:glm-5,fake_rejections,none,0.75,0.75,total_return,5,0.008615635101353557,-0.0014841505691970485,0.018715420771904166,0.25,0.6575342465753424,0.6703094866111783
poe:glm-5,fake_violations,max-position,0.25,0.25,total_return,5,0.001763008970409098,-0.0023345278912541316,0.006730038581590757,0.6875,0.9795918367346939,0.307383698656271
