agent,kind,risk,dose,configured_dose,outcome,paired_n,mean_delta,ci_low,ci_high,permutation_p_value,q_value,cohens_d
glm:glm-5,fake_rejections,max-position,0.25,0.25,turnover_events,10,-0.29999999999999966,-0.6999999999999993,0.06666666666666643,0.25,0.6575342465753424,-0.45703667411923476
glm:glm-5,fake_rejections,max-position,0.75,0.75,turnover_events,30,-0.25555555555555537,-0.522222222222222,-0.011111111111110954,0.07646176911544228,0.4104614359486923,-0.3548540063711307
glm:glm-5,fake_rejections,none,0.25,0.25,turnover_events,10,0.03333333333333392,-1.2666666666666662,1.1666666666666674,0.99609375,1.0,0.01566200646287637
glm:glm-5,fake_rejections,none,0.75,0.75,turnover_events,30,-0.3444444444444443,-1.4222222222222218,0.6333333333333333,0.5357321339330335,0.8579710144927536,-0.12151885662188613
glm:glm-5,fake_violations,max-position,0.25,0.25,turnover_events,10,-0.20000000000000034,-0.5333333333333343,0.03333333333333392,0.375,0.7912087912087912,-0.4196271637081409
glm:glm-5,fake_violations,max-position,0.75,0.75,turnover_events,30,-0.2888888888888881,-0.5888888888888875,0.03333333333333392,0.08395802098950525,0.4356740548644597,-0.3338218339561229
glm:glm-5,fake_violations,none,0.25,0.25,turnover_events,10,0.40000000000000036,-0.6999999999999993,1.733333333333333,0.6015625,0.924,0.19710129594528147
glm:glm-5,fake_violations,none,0.75,0.75,turnover_events,30,1.577777777777778,0.3555555555555555,2.8666666666666667,0.02148925537231384,0.17938856658627206,0.44001120893236406
poe:claude-opus-4.7,fake_rejections,max-position,0.25,0.25,turnover_events,10,0.0,-0.13333333333333428,0.13333333333333428,1.0,1.0,0.0
poe:claude-opus-4.7,fake_rejections,max-position,0.75,0.75,turnover_events,30,-0.23333333333333356,-0.45555555555555594,-0.022222222222222143,0.06746626686656672,0.3809859775994356,-0.36222866114480157
poe:claude-opus-4.7,fake_rejections,none,0.25,0.25,turnover_events,10,0.7333333333333337,-0.0666666666666659,1.5000000000000004,0.15234375,0.5625,0.5257337149986625
poe:claude-opus-4.7,fake_rejections,none,0.75,0.75,turnover_events,30,0.7555555555555554,0.23333333333333348,1.2888888888888885,0.010494752623688156,0.11194402798600701,0.4975497487425606
poe:claude-opus-4.7,fake_violations,max-position,0.25,0.25,turnover_events,10,0.06666666666666643,0.0,0.1666666666666657,0.5,0.8421052631578947,0.474341649025257
poe:claude-opus-4.7,fake_violations,max-position,0.75,0.75,turnover_events,30,-0.27777777777777857,-0.533333333333334,-0.04444444444444524,0.047976011994003,0.29714175170479273,-0.3933397714990657
poe:claude-opus-4.7,fake_violations,none,0.25,0.25,turnover_events,10,0.5666666666666672,-0.23333333333333234,1.433333333333334,0.2578125,0.66,0.4056058789419335
poe:claude-opus-4.7,fake_violations,none,0.75,0.75,turnover_events,30,1.5555555555555556,0.5999999999999998,2.533333333333333,0.00399800099950025,0.05904739937723446,0.5728329847777366
poe:gemini-3.1-pro,fake_rejections,max-position,0.25,0.25,turnover_events,10,-0.6999999999999986,-1.399999999999999,-0.09999999999999858,0.125,0.5,-0.6210590034081177
poe:gemini-3.1-pro,fake_rejections,max-position,0.75,0.75,turnover_events,30,-0.3666666666666655,-0.9222222222222206,0.13333333333333475,0.1969015492253873,0.6407643635809214,-0.24883706931537827
poe:gemini-3.1-pro,fake_rejections,none,0.25,0.25,turnover_events,10,-1.4666666666666672,-2.166666666666667,-0.7333333333333348,0.0078125,0.08823529411764706,-1.183487679199376
poe:gemini-3.1-pro,fake_rejections,none,0.75,0.75,turnover_events,30,-0.6777777777777786,-1.3777777777777778,0.01111111111111036,0.0769615192403798,0.4104614359486923,-0.3397087803709066
poe:gemini-3.1-pro,fake_violations,max-position,0.25,0.25,turnover_events,10,-0.5666666666666661,-1.5,0.13333333333333428,0.265625,0.6630530888401953,-0.4162745212180571
poe:gemini-3.1-pro,fake_violations,max-position,0.75,0.75,turnover_events,30,-1.277777777777777,-1.9222222222222212,-0.6111111111111105,0.0004997501249375312,0.010661335998667332,-0.6812630328300281
poe:gemini-3.1-pro,fake_violations,none,0.25,0.25,turnover_events,10,-0.7000000000000002,-1.8666666666666667,0.23333333333333287,0.3046875,0.7222222222222222,-0.38854851762880355
poe:gemini-3.1-pro,fake_violations,none,0.75,0.75,turnover_events,30,-1.0444444444444445,-1.8333333333333335,-0.2444444444444443,0.018490754622688656,0.16137385852528283,-0.464170452665726
poe:glm-5,fake_rejections,max-position,0.25,0.25,turnover_events,5,0.2,-0.13333333333333286,0.6,0.75,0.9795918367346939,0.39562828403747247
poe:glm-5,fake_rejections,max-position,0.75,0.75,turnover_events,5,-7.105427357601002e-16,-0.4,0.3999999999999986,1.0,1.0,-1.348160051933455e-15
