window,level,agent,seed,total_return,sharpe,execution_fill_rate,turnover_events
rates_drawdown_2022,E2_participation_1pct,mean-reversion,1,-0.3996632573955048,-10.528470111073505,0.8609865470852018,384
rates_drawdown_2022,E2_participation_1pct,mean-reversion,2,-0.36289468291894944,-8.88616892635434,0.8287671232876712,363
rates_drawdown_2022,E2_participation_1pct,mean-reversion,3,-0.36416718416176974,-8.677055926719008,0.8333333333333334,365
rates_drawdown_2022,E2_participation_1pct,risk-parity,1,0.34560336600271424,6.667273533901945,0.8753488372093023,941
rates_drawdown_2022,E2_participation_1pct,risk-parity,2,0.4921701332430346,9.004559619784722,0.8608534322820037,928
rates_drawdown_2022,E2_participation_1pct,risk-parity,3,0.45799556454262236,7.745226944559887,0.8850787766450418,955
rates_drawdown_2022,E2_participation_1pct,minimum-variance,1,0.4281733010641984,8.546184714277315,0.8392523364485981,898
rates_drawdown_2022,E2_participation_1pct,minimum-variance,2,0.48312511585313467,9.808188118026054,0.8770949720670391,942
rates_drawdown_2022,E2_participation_1pct,minimum-variance,3,0.6038715139353112,10.992455738612074,0.8701787394167451,925
rates_drawdown_2022,E2_participation_1pct,random,1,0.24613744564187234,4.873128774945226,0.7774480712166172,786
rates_drawdown_2022,E2_participation_1pct,random,2,0.327826019647123,6.847546707044923,0.8011583011583011,830
rates_drawdown_2022,E2_participation_1pct,random,3,0.26039096619456137,4.654357983591958,0.8011472275334608,838
rates_drawdown_2022,E2_harsh_corner,buy-and-hold,1,0.4035237110123606,6.0728923790532745,0.6005586592178771,645
rates_drawdown_2022,E2_harsh_corner,buy-and-hold,2,0.34545468838262194,4.931277758870382,0.6247672253258846,671
rates_drawdown_2022,E2_harsh_corner,buy-and-hold,3,0.36089431488824597,5.708068350225429,0.6409302325581395,689
rates_drawdown_2022,E2_harsh_corner,signal-weighted,1,0.8773118660349457,12.66790671088506,0.5714285714285714,380
rates_drawdown_2022,E2_harsh_corner,signal-weighted,2,1.0914277999912163,12.997992169494415,0.5863509749303621,421
