scenario_key,scenario_id,scenario_label,provider,model,seed,seed_index,stress_family,participation_rate,spread_bps,latency_steps,parse_coverage,evidence_tags,claim_scope,total_return,max_drawdown,sharpe,execution_fill_rate,rejected_order_count,risk_clipped_decisions,risk_violation_count,alpha_pre_risk_total_return,alpha_pre_risk_sharpe,alpha_pre_risk_hit_rate,alpha_pre_risk_steps,alpha_quality_score,risk_discipline_score,execution_robustness_score,reproducibility_hash,submission,summary
spread_explosion,leaderboard_llm_spread_explosion_synthetic_v0_1,Spread explosion,poe,kimi-k2.5,53,0,execution,0.05,150.0,1,1.0,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution,-0.0006997714470967642,-0.023337813269680985,-0.05506788742478138,0.75,1,8,0,-0.001735255181625761,-0.1685770608271551,0.5,6,0.42792868062642464,0.75,0.5547265622740685,sha256:0820021e150264610213f88640e10a0ab2519ea4914a62403aba3d2b341ff1c1,examples/benchmark_submissions/model_matrix/spread_explosion__poe_kimi_k2_5.json,docs/results/model_matrix/spread_explosion__poe_kimi_k2_5_summary.json
spread_explosion,leaderboard_llm_spread_explosion_synthetic_v0_1,Spread explosion,poe,glm-5,53,0,execution,0.05,150.0,1,0.875,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution,-0.011567619901294623,-0.026946008515300268,-3.137235705777786,0.75,1,8,2,0.016457018214834918,2.6482556754162205,0.6,5,0.6531765387159915,0.375,0.6421382745522801,sha256:886315ca40c5b3196fbfb1a906376a777bc3e70a63ffdb6f41bc6293efaeeefa,examples/benchmark_submissions/model_matrix/spread_explosion__poe_glm_5.json,docs/results/model_matrix/spread_explosion__poe_glm_5_summary.json
spread_explosion,leaderboard_llm_spread_explosion_synthetic_v0_1,Spread explosion,poe,claude-opus-4.7,53,0,execution,0.05,150.0,1,1.0,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution,-0.015538595632362151,-0.042385397460331986,-2.0151732350290548,0.7692307692307693,1,9,1,0.01921825250875031,3.1179628443364664,0.6666666666666666,6,0.7001222340643154,0.65625,0.5604099756071385,sha256:fe1be1a36c38fc5a4ca851b2db5ba2fe5a0b496a252fb068dfe642a357efd731,examples/benchmark_submissions/model_matrix/spread_explosion__poe_claude_opus_4_7.json,docs/results/model_matrix/spread_explosion__poe_claude_opus_4_7_summary.json
spread_explosion,leaderboard_llm_spread_explosion_synthetic_v0_1,Spread explosion,deepseek,deepseek-v4-flash,53,0,execution,0.05,150.0,1,1.0,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution,-0.015538595632362151,-0.042385397460331986,-2.0151732350290548,0.7692307692307693,1,9,1,0.03293400515420397,4.611738212570991,0.6666666666666666,6,0.7824348449302923,0.65625,0.5604099756071385,sha256:3f07c8ab996333cd2453f3b7b2db76cb42e52d9a6894de08f6cfdb3ed5dfbe53,examples/benchmark_submissions/model_matrix/spread_explosion__deepseek_deepseek_v4_flash.json,docs/results/model_matrix/spread_explosion__deepseek_deepseek_v4_flash_summary.json
spread_explosion,leaderboard_llm_spread_explosion_synthetic_v0_1,Spread explosion,deepseek,deepseek-v4-pro,53,0,execution,0.05,150.0,1,1.0,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution,0.004837979222670485,-0.020633570209063867,0.9380650697872337,0.8333333333333334,1,4,7,0.008443386731635139,1.743934412014734,0.75,4,0.6123937941803719,0.0,0.6723952719984465,sha256:e51d439c3fb379a071bbd1e72982a586c39a415d220585bbacf51c14148b6beb,examples/benchmark_submissions/model_matrix/spread_explosion__deepseek_deepseek_v4_pro.json,docs/results/model_matrix/spread_explosion__deepseek_deepseek_v4_pro_summary.json
latency_spike,leaderboard_llm_latency_spike_synthetic_v0_1,Latency spike,poe,gpt-5.5,65,0,execution,0.03,25.0,4,1.0,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution,0.0010006922786887085,-0.01326271723652983,0.3667793375159909,0.2727272727272727,1,9,0,0.026720910436958345,3.7091384149619113,0.4,5,0.6981551226892679,0.71875,0.47756919422352473,sha256:fb175dbf03cc28342ba82a2296241ae915c6b0db752137ebd9a4d62ecf4c509e,examples/benchmark_submissions/model_matrix/latency_spike__poe_gpt_5_5.json,docs/results/model_matrix/latency_spike__poe_gpt_5_5_summary.json
latency_spike,leaderboard_llm_latency_spike_synthetic_v0_1,Latency spike,poe,gemini-3.1-pro,65,0,execution,0.03,25.0,4,1.0,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution,0.03290557483821965,-0.009126731449652481,5.679830335254814,0.23076923076923078,3,13,0,0.07124201036727618,8.34361792843264,0.5714285714285714,7,0.8495802376120858,0.59375,0.4745336656775082,sha256:6dc1d83bcc76a051907218994fb623e1d7286df8fa8664adbf1b3b03ae86020d,examples/benchmark_submissions/model_matrix/latency_spike__poe_gemini_3_1_pro.json,docs/results/model_matrix/latency_spike__poe_gemini_3_1_pro_summary.json
latency_spike,leaderboard_llm_latency_spike_synthetic_v0_1,Latency spike,poe,kimi-k2.5,65,0,execution,0.03,25.0,4,1.0,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution,0.0010006922786887085,-0.01326271723652983,0.3667793375159909,0.2727272727272727,1,9,0,0.02704494347891817,3.7621360304654754,0.4,5,0.7019757246047187,0.71875,0.47756919422352473,sha256:d83fec4e3980482715bfe34d19b3765b66206a7df8d12e01d2a4db9b646d3d67,examples/benchmark_submissions/model_matrix/latency_spike__poe_kimi_k2_5.json,docs/results/model_matrix/latency_spike__poe_kimi_k2_5_summary.json
latency_spike,leaderboard_llm_latency_spike_synthetic_v0_1,Latency spike,poe,glm-5,65,0,execution,0.03,25.0,4,0.875,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution,0.0010006922786887085,-0.01326271723652983,0.3667793375159909,0.3,0,9,2,0.03909761098814735,5.479229878951071,0.6,5,0.7829696247233315,0.34375,0.4957510124053429,sha256:6dd5c84b914274571c34c5e89aca8e0a42baa7664f188959d7590e18f53bd8c2,examples/benchmark_submissions/model_matrix/latency_spike__poe_glm_5.json,docs/results/model_matrix/latency_spike__poe_glm_5_summary.json
latency_spike,leaderboard_llm_latency_spike_synthetic_v0_1,Latency spike,poe,claude-opus-4.7,65,0,execution,0.03,25.0,4,1.0,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution,0.0010006922786887085,-0.01326271723652983,0.3667793375159909,0.2727272727272727,1,9,0,0.028665108688716856,4.030292364515717,0.4,5,0.719496494549613,0.71875,0.47756919422352473,sha256:88f9614808b564cf60fedd3fbca8d5d913a86c46ec07bf82220d8b12ade92cfa,examples/benchmark_submissions/model_matrix/latency_spike__poe_claude_opus_4_7.json,docs/results/model_matrix/latency_spike__poe_claude_opus_4_7_summary.json
