scenario,level,agent,agent_type,seed_count,sharpe_mean,sharpe_std,sharpe_ci_low,sharpe_ci_high,return_mean,fill_rate_mean,rank
high_vol,E2_participation_1pct,poe:glm-5,llm,10,9.591574476367505,3.114525593966015,7.828999904727172,11.455393013897506,0.0788513251825779,0.8454651188538657,1
high_vol,E2_participation_1pct,poe:gpt-5.5,llm,10,9.061920522058518,2.9691131913559197,7.339810191832522,10.823358182100398,0.07765489385295932,0.8533875063443309,5
high_vol,E2_participation_1pct,random,classical,10,7.750070297281873,4.2244304850004895,5.064736898402521,10.033100752747796,0.07960267665771993,0.8004611330698287,10
high_vol,E2_participation_1pct,risk-parity,classical,10,8.692964055857043,3.6636770471175653,6.57492761795041,10.899723234157841,0.08721094141119834,0.8536231884057971,6
high_vol,E2_participation_1pct,signal-weighted,classical,10,4.849032766195824,5.196522658739272,1.3725741342478852,7.159980348418347,0.012389027065979875,0.7796153846153847,11
high_vol,E2_spread_20bps,buy-and-hold,classical,10,9.154273001763551,3.45411686330519,7.142058153917981,11.242533289528058,0.10133540221021065,0.844927536231884,1
high_vol,E2_spread_20bps,deepseek:deepseek-v4-pro,llm,10,7.963273402273382,3.1349750978509956,6.1634375807034925,9.738074476525238,0.059756931417816996,0.8156366576731028,8
high_vol,E2_spread_20bps,mean-reversion,classical,10,3.0098644940160675,4.921631493152079,-0.02165439695430038,5.587425324783237,0.025999297105387276,0.8070526695526695,12
high_vol,E2_spread_20bps,minimum-variance,classical,10,8.176307921198497,2.990618941110585,6.342401602836224,9.901477641892528,0.07755063307860417,0.8419685990338165,6
high_vol,E2_spread_20bps,naive-momentum,classical,10,7.955893129572945,3.049333884379121,6.142124141861716,9.773625342171298,0.07243658143268794,0.8473096511331806,9
high_vol,E2_spread_20bps,poe:claude-opus-4.7,llm,10,8.691482295691147,3.0216692412456987,6.9390326383646865,10.530328032891267,0.076564237771711,0.8672455209460527,3
high_vol,E2_spread_20bps,poe:gemini-3.1-pro,llm,10,7.99077704576842,3.2492531440976906,6.170722144194004,9.943114380620036,0.07306618372558482,0.8252173913043478,7
high_vol,E2_spread_20bps,poe:glm-5,llm,10,8.921343192164802,2.9798398920144664,7.238749762599525,10.705107612315485,0.0735095990264697,0.8367893854025905,2
high_vol,E2_spread_20bps,poe:gpt-5.5,llm,10,8.665582911135449,3.0458622816432723,6.90994720109294,10.421302801601163,0.07439332350638617,0.8613041730109977,4
high_vol,E2_spread_20bps,random,classical,10,7.316979452506513,4.2799305240894965,4.604435326026609,9.653153867740052,0.07555058627909043,0.8087403538490495,10
high_vol,E2_spread_20bps,risk-parity,classical,10,8.327564903127065,3.6598807559396564,6.211289943179567,10.519159325838716,0.08371477622794148,0.8583333333333334,5
high_vol,E2_spread_20bps,signal-weighted,classical,10,4.323453808728235,5.173234459006654,0.8466332957269149,6.584779616162552,0.011229360884471651,0.7796153846153847,11
jump_tail,E0_ideal,buy-and-hold,classical,10,8.492903202109103,8.62236103083167,3.72158918037756,13.979472338103857,0.10359307409366728,1.0,3
jump_tail,E0_ideal,deepseek:deepseek-v4-pro,llm,10,6.721126374365532,5.780568643813709,3.2779733021154946,10.028558886386808,0.053873011789688785,1.0,9
jump_tail,E0_ideal,mean-reversion,classical,10,0.9909188173457979,3.1149371266242416,-0.7603802147789761,2.788397490590702,0.006065855006672593,0.9,12
jump_tail,E0_ideal,minimum-variance,classical,10,8.878689676903234,7.873092314898764,4.6854171170703465,13.774096082707732,0.10599064889805479,1.0,1
jump_tail,E0_ideal,naive-momentum,classical,10,8.042144283306486,5.106369279073031,5.069718465667242,10.896041340427226,0.07926807521921193,1.0,4
