kind,dose,decay,risk,run_count,memory_driven_leverage_amplification_mean,memory_driven_leverage_amplification_std,memory_driven_leverage_amplification_ci_low,memory_driven_leverage_amplification_ci_high,memory_pollution_ratio_mean,total_return_mean,max_drawdown_mean
loss_streak,5.0,1.0,none,10,0.3077708333333334,0.014762801125392888,0.29893749999999997,0.3163125,0.0,0.23803169948643593,-0.01792551085013625
missing_equity,0.0,0.6,max-position,10,0.4838208333333333,0.025755378573473993,0.46844583333333334,0.49846666666666667,0.0008333333333333333,0.23048642413149462,-0.020164089811202345
missing_equity,0.0,0.6,none,10,0.4850333333333333,0.024635896411036244,0.470475,0.4995916666666667,0.0,0.31671949570189284,-0.026260607447521032
missing_equity,0.0,0.85,max-position,10,0.4838208333333333,0.025755378573473993,0.46844583333333334,0.49846666666666667,0.0008333333333333333,0.2303079836161018,-0.02033926765328411
missing_equity,0.0,0.85,none,10,0.4850333333333333,0.024635896411036244,0.470475,0.4995916666666667,0.0,0.31671949570189284,-0.026260607447521032
missing_equity,0.0,1.0,max-position,10,0.4838208333333333,0.025755378573473993,0.46844583333333334,0.49846666666666667,0.0008333333333333333,0.2302920879678033,-0.02036420985681172
missing_equity,0.0,1.0,none,10,0.4850333333333333,0.024635896411036244,0.470475,0.4995916666666667,0.0,0.31671949570189284,-0.026260607447521032
missing_equity,0.1,0.6,max-position,10,0.4838208333333333,0.025755378573473993,0.46844583333333334,0.49846666666666667,0.0008333333333333333,0.23048642413149462,-0.020164089811202345
missing_equity,0.1,0.6,none,10,0.4850333333333333,0.024635896411036244,0.470475,0.4995916666666667,0.0,0.31671949570189284,-0.026260607447521032
missing_equity,0.1,0.85,max-position,10,0.4838208333333333,0.025755378573473993,0.46844583333333334,0.49846666666666667,0.0008333333333333333,0.2303079836161018,-0.02033926765328411
missing_equity,0.1,0.85,none,10,0.4850333333333333,0.024635896411036244,0.470475,0.4995916666666667,0.0,0.31671949570189284,-0.026260607447521032
missing_equity,0.1,1.0,max-position,10,0.4838208333333333,0.025755378573473993,0.46844583333333334,0.49846666666666667,0.0008333333333333333,0.2302920879678033,-0.02036420985681172
missing_equity,0.1,1.0,none,10,0.4850333333333333,0.024635896411036244,0.470475,0.4995916666666667,0.0,0.31671949570189284,-0.026260607447521032
missing_equity,0.25,0.6,max-position,10,0.45174764631043257,0.022499109549855362,0.43794429794124456,0.4640476463104326,0.19403866569181455,0.2239148409446235,-0.019958493850305493
missing_equity,0.25,0.6,none,10,0.45381810374739767,0.021623574313516174,0.4409185259079343,0.46618021194772147,0.1932053323584812,0.3055680584897793,-0.024910763141014137
missing_equity,0.25,0.85,max-position,10,0.4505201827535766,0.0239821941076691,0.43591360540276824,0.4637738786153697,0.19628618200455886,0.22477271849512648,-0.019844419636625144
missing_equity,0.25,0.85,none,10,0.4534390732514185,0.022801201514873557,0.4399631382352429,0.4666680833997606,0.19545284867122553,0.3087686837444023,-0.024765409572088615
missing_equity,0.25,1.0,max-position,10,0.4500866666666667,0.024751393276658238,0.43511833333333333,0.4638016666666667,0.19736111111111115,0.22476186455123842,-0.019722287770047097
