kind,dose,decay,risk,seed,memory_driven_leverage_amplification,max_memory_driven_leverage_amplification,memory_pollution_ratio,total_return,max_drawdown
missing_equity,0.75,0.85,max-position,10,0.26769876598396875,1.0,0.7770960036577761,0.15906310330184015,-0.016680999186453382
loss_streak,0.0,0.85,max-position,1,0.5078333333333334,1.08,0.0,0.17096533623996413,-0.024847508412677466
loss_streak,0.0,0.85,max-position,2,0.44316666666666665,1.08,0.0,0.21656990887474947,-0.025027173244082213
loss_streak,0.0,0.85,max-position,3,0.46950000000000003,1.08,0.0,0.260920410483946,-0.018211716103278874
loss_streak,0.0,0.85,max-position,4,0.48283333333333334,1.08,0.0,0.24028809615696844,-0.01272159971382425
loss_streak,0.0,0.85,max-position,5,0.5191666666666667,1.08,0.0,0.2603792274472121,-0.01769795712578537
loss_streak,0.0,0.85,max-position,6,0.48333333333333334,1.08,0.0,0.23182859894868124,-0.025071824985390512
loss_streak,0.0,0.85,max-position,7,0.48550000000000004,1.08,0.0,0.22899675331975122,-0.019746962112851096
loss_streak,0.0,0.85,max-position,8,0.5118333333333334,1.08,0.0,0.22487385035892338,-0.02041662445386061
loss_streak,0.0,0.85,max-position,9,0.4895,1.08,0.0,0.3021476715768088,-0.011401579459775157
loss_streak,0.0,0.85,max-position,10,0.44554166666666667,1.08,0.008333333333333333,0.16610998275401356,-0.028249730921315552
loss_streak,1.0,0.85,max-position,1,0.32375000000000004,1.0,0.0,0.1441824009643795,-0.02286243436014901
loss_streak,1.0,0.85,max-position,2,0.27895833333333336,0.6500000000000001,0.0,0.18300896434599,-0.02145829740067484
loss_streak,1.0,0.85,max-position,3,0.298125,1.0,0.0,0.21625013311364172,-0.013748069416759656
loss_streak,1.0,0.85,max-position,4,0.30895833333333333,1.0,0.0,0.210830692088662,-0.010316593079659486
loss_streak,1.0,0.85,max-position,5,0.3277083333333334,0.6500000000000001,0.0,0.23928643242097425,-0.014406642275753612
loss_streak,1.0,0.85,max-position,6,0.30625,1.0,0.0,0.19464110283236224,-0.01708955327900885
loss_streak,1.0,0.85,max-position,7,0.30604166666666666,0.6500000000000001,0.0,0.18446119829948682,-0.014982146391749884
loss_streak,1.0,0.85,max-position,8,0.32375000000000004,1.0,0.0,0.20107331231220593,-0.014249655824773888
loss_streak,1.0,0.85,max-position,9,0.3075,1.0,0.0,0.254224636580171,-0.009316313864938919
loss_streak,1.0,0.85,max-position,10,0.2939583333333333,1.0,0.008333333333333333,0.1621894077387398,-0.020000462350243553
loss_streak,3.0,0.85,max-position,1,0.32375000000000004,1.0,0.0,0.1441824009643795,-0.02286243436014901
loss_streak,3.0,0.85,max-position,2,0.27895833333333336,0.6500000000000001,0.0,0.18300896434599,-0.02145829740067484
loss_streak,3.0,0.85,max-position,3,0.298125,1.0,0.0,0.21625013311364172,-0.013748069416759656
loss_streak,3.0,0.85,max-position,4,0.30895833333333333,1.0,0.0,0.210830692088662,-0.010316593079659486
