kind,decay,risk,dose,outcome,paired_n,mean_delta_vs_dose0,delta_ci_low,delta_ci_high,permutation_p_value,q_value,cohens_d
fake_rejections,1.0,max-position,0.75,memory_pollution_ratio,10,0.7859722222222223,0.7843055555555557,0.7868055555555556,0.001953125,0.002999680034129693,298.25548798154875
fake_rejections,1.0,max-position,0.75,total_return,10,-0.0930826027248209,-0.10843573214246485,-0.07759077548687299,0.001953125,0.002999680034129693,-3.6338023008595584
fake_rejections,1.0,max-position,0.75,max_drawdown,10,0.009730903366320764,0.007590331740497713,0.011766195769605725,0.001953125,0.002999680034129693,2.7358360017742025
fake_rejections,1.0,none,0.1,memory_driven_leverage_amplification,10,0.0,0.0,0.0,1.0,1.0,0.0
fake_rejections,1.0,none,0.1,max_memory_driven_leverage_amplification,10,0.0,0.0,0.0,1.0,1.0,0.0
fake_rejections,1.0,none,0.1,memory_pollution_ratio,10,0.0,0.0,0.0,1.0,1.0,0.0
fake_rejections,1.0,none,0.1,total_return,10,0.0,0.0,0.0,1.0,1.0,0.0
fake_rejections,1.0,none,0.1,max_drawdown,10,0.0,0.0,0.0,1.0,1.0,0.0
fake_rejections,1.0,none,0.25,memory_driven_leverage_amplification,10,-0.06154166666666665,-0.06406666666666663,-0.05933333333333333,0.001953125,0.002999680034129693,-15.470751971709676
fake_rejections,1.0,none,0.25,max_memory_driven_leverage_amplification,10,-0.11000000000000003,-0.13999999999999999,-0.08000000000000007,0.001953125,0.002999680034129693,-2.2772163458297725
fake_rejections,1.0,none,0.25,memory_pollution_ratio,10,0.1965277777777778,0.1965277777777778,0.1965277777777778,0.001953125,0.002999680034129693,
fake_rejections,1.0,none,0.25,total_return,10,-0.01615805532643355,-0.025779933880623516,-0.0063716611435949535,0.01953125,0.027043269230769232,-0.9884546260322569
fake_rejections,1.0,none,0.25,max_drawdown,10,0.0025172707794635318,0.0006680341211219298,0.004597532885158939,0.037109375,0.05045081193353474,0.7613855303810649
fake_rejections,1.0,none,0.5,memory_driven_leverage_amplification,10,-0.1077833333333333,-0.11172083333333334,-0.10414583333333334,0.001953125,0.002999680034129693,-16.592372453331997
