scenario,level,agent,seed,total_return,sharpe,max_drawdown,execution_fill_rate,total_slippage_cost
calm,E1_default_stress,random,9,0.05080402973420606,1.0330358939730984,-0.17334111787631457,0.9184549356223176,8568.660184261536
calm,E1_default_stress,random,10,0.1383816808971119,2.4461203604316424,-0.13502047332079203,0.9090909090909091,7613.2211815858445
calm,E2_spread_20bps,buy-and-hold,1,0.032781824180730945,0.5943720711279205,-0.216519287828158,0.9915966386554622,8190.250222619256
calm,E2_spread_20bps,buy-and-hold,2,0.015544978267173715,0.2875344060902065,-0.24571537446915348,0.9875,8726.761065723984
calm,E2_spread_20bps,buy-and-hold,3,0.03555845102772803,0.5980888039554999,-0.21725639355878923,0.9871794871794872,8166.067229674745
calm,E2_spread_20bps,buy-and-hold,4,0.07198543954885195,1.1198801001799132,-0.21507886902425954,0.9874476987447699,8572.109189386938
calm,E2_spread_20bps,buy-and-hold,5,0.10962422890401058,1.6651441904410889,-0.20500834799192047,0.9874476987447699,8940.916051369584
calm,E2_spread_20bps,buy-and-hold,6,-0.0017123221378664288,0.04664941484558568,-0.24190932687628497,0.9874476987447699,9308.700184541492
calm,E2_spread_20bps,buy-and-hold,7,0.06678676571942588,1.151747404057295,-0.18404682580279563,0.9874476987447699,7982.834899243025
calm,E2_spread_20bps,buy-and-hold,8,0.011297708113542138,0.24602472388583013,-0.2325449434099236,0.9832635983263598,8119.65667935372
calm,E2_spread_20bps,buy-and-hold,9,0.10934850900051063,1.69728322747436,-0.23634694515286891,0.9916317991631799,9171.534730872689
calm,E2_spread_20bps,buy-and-hold,10,0.06312027693085409,0.9658637097297252,-0.22543401122745443,0.9873417721518988,9125.718861322743
calm,E2_spread_20bps,signal-weighted,1,0.15475354011301046,4.180980430656557,-0.031803492195605854,0.8986486486486487,4466.299218822352
calm,E2_spread_20bps,signal-weighted,2,0.19874458444753462,5.464667178554793,-0.026327834786558868,0.9173553719008265,4316.659619252971
calm,E2_spread_20bps,signal-weighted,3,0.23829718851564885,5.283600898818585,-0.019690881457311127,0.9112903225806451,4446.992980637459
calm,E2_spread_20bps,signal-weighted,4,0.2200038412225569,5.555405555497804,-0.015029888049734486,0.9015151515151515,5273.216445161335
calm,E2_spread_20bps,signal-weighted,5,0.24324174185414016,5.540702143620984,-0.020429082383095043,0.9473684210526315,4552.284973301179
calm,E2_spread_20bps,signal-weighted,6,0.21540581113349422,6.1916766646134285,-0.024928584648360785,0.9140625,4476.987074562999
calm,E2_spread_20bps,signal-weighted,7,0.2088956243826552,5.951777483220308,-0.021240067636604576,0.9349593495934959,4916.123319433376
calm,E2_spread_20bps,signal-weighted,8,0.20674757973755065,5.471496973986996,-0.022583343635351305,0.9185185185185185,4829.395114136339
calm,E2_spread_20bps,signal-weighted,9,0.2834546784939418,6.98411131051415,-0.012065277925570661,0.9365079365079365,4569.442579191918
calm,E2_spread_20bps,signal-weighted,10,0.15594803100034427,4.081714322488461,-0.026375250695927832,0.9069767441860465,4790.265323076911
calm,E2_spread_20bps,naive-momentum,1,0.2075456741493007,4.0362482566787685,-0.06821149876033605,0.9259259259259259,9021.935156053929
calm,E2_spread_20bps,naive-momentum,2,0.25693309916583185,4.7695951468372835,-0.054413725849040584,0.9225806451612903,9511.416159158996
calm,E2_spread_20bps,naive-momentum,3,0.34731020319952566,6.449209425325957,-0.02990396897233205,0.9136690647482014,7219.075880987102
calm,E2_spread_20bps,naive-momentum,4,0.2655564570047224,6.280776449301596,-0.03433003739911711,0.9241379310344827,7042.803408310938
calm,E2_spread_20bps,naive-momentum,5,0.35984050464645745,6.866663572188685,-0.03240112276423479,0.9315068493150684,9252.01066645642
calm,E2_spread_20bps,naive-momentum,6,0.38469651138790195,7.21368365112989,-0.03006056503717469,0.9305555555555556,8221.113386755866
calm,E2_spread_20bps,naive-momentum,7,0.2541188618650072,5.955355166436746,-0.030212437543409187,0.9214285714285714,7221.523966512787
calm,E2_spread_20bps,naive-momentum,8,0.24874409051269875,5.288315283534404,-0.056563715864145436,0.9245283018867925,8834.185435653282
calm,E2_spread_20bps,naive-momentum,9,0.423754870641486,8.160148768574354,-0.014279224348654473,0.9411764705882353,8128.848828408909
calm,E2_spread_20bps,naive-momentum,10,0.2481201675391247,4.779052477888019,-0.042592152646697246,0.9241379310344827,7255.000303256458
calm,E2_spread_20bps,mean-reversion,1,-0.22846298091747475,-6.025471521745564,-0.23571957414076383,0.9043478260869565,6041.43111277034
calm,E2_spread_20bps,mean-reversion,2,-0.19884332614567324,-5.027198589409087,-0.20228540166592834,0.92,5214.495478986742
calm,E2_spread_20bps,mean-reversion,3,-0.2664709942828165,-8.21411160831731,-0.27795217243910186,0.96,5210.841325872185
calm,E2_spread_20bps,mean-reversion,4,-0.2509417259601108,-6.110466575795201,-0.2638751109036007,0.9312977099236641,5469.088206237865
calm,E2_spread_20bps,mean-reversion,5,-0.2391416878591347,-7.964390409513625,-0.2528872165034707,0.9310344827586207,3659.2840261621814
calm,E2_spread_20bps,mean-reversion,6,-0.2804872181764755,-7.186947091127368,-0.2870650387358834,0.9130434782608695,5049.407551896967
calm,E2_spread_20bps,mean-reversion,7,-0.2091981739460972,-5.921664767806247,-0.2270920914089659,0.9193548387096774,4466.916124054699
calm,E2_spread_20bps,mean-reversion,8,-0.23958283204437802,-6.556846892033921,-0.2579180094500517,0.9112903225806451,6900.883530273778
calm,E2_spread_20bps,mean-reversion,9,-0.2438151916024479,-6.916377279367345,-0.25249022119047926,0.9421487603305785,4325.053610490714
calm,E2_spread_20bps,mean-reversion,10,-0.20457849101293157,-5.285415615285798,-0.2269182236683247,0.9112903225806451,5077.847538721694
calm,E2_spread_20bps,risk-parity,1,0.08031623954687683,1.3598529484434563,-0.20434093604483694,0.9874476987447699,8348.419554080434
calm,E2_spread_20bps,risk-parity,2,0.056511144690443826,0.853672483473407,-0.21877678917581422,0.9873949579831933,9143.814094215186
calm,E2_spread_20bps,risk-parity,3,-0.00630026530737815,-0.029852494838245865,-0.2349179040286643,0.9875,10058.446358863654
calm,E2_spread_20bps,risk-parity,4,0.06124517955825848,0.9669495522826013,-0.22368994757736638,0.9874476987447699,10694.474594739044
calm,E2_spread_20bps,risk-parity,5,0.13611558961058945,2.119701958164854,-0.1889448978005761,0.9873949579831933,7186.819056905842
calm,E2_spread_20bps,risk-parity,6,0.020199555597803842,0.3704571069639377,-0.2194077305007982,0.9832635983263598,8387.400694593205
calm,E2_spread_20bps,risk-parity,7,0.05090772520344089,0.9023314813231056,-0.1891915760493924,0.9833333333333333,7528.873565259002
calm,E2_spread_20bps,risk-parity,8,0.027893897881166474,0.49299624186813756,-0.2379551166635524,0.9875,8064.470141963963
calm,E2_spread_20bps,risk-parity,9,0.14356951922318073,2.159103124208974,-0.23074525337385665,0.9916317991631799,9431.068414640305
calm,E2_spread_20bps,risk-parity,10,0.01953938688124901,0.36466731272697406,-0.21477034081212276,0.9916666666666667,8664.92104989682
