timestamp,symbol,bid,ask,bid_qty,ask_qty,transaction_time,event_time,update_id
2024-03-01T00:08:49.199000Z,BTCUSDT,61374.80000000,61374.90000000,5.31400000,3.68000000,2024-03-01T00:08:49.199000Z,2024-03-01T00:08:49.204000Z,4070970969904
2024-03-01T00:08:50.264000Z,BTCUSDT,61374.80000000,61374.90000000,6.02900000,4.98400000,2024-03-01T00:08:50.264000Z,2024-03-01T00:08:50.270000Z,4070971022458
2024-03-01T00:08:51.346000Z,BTCUSDT,61374.80000000,61374.90000000,6.44100000,4.98000000,2024-03-01T00:08:51.346000Z,2024-03-01T00:08:51.353000Z,4070971078383
2024-03-01T00:08:52.380000Z,BTCUSDT,61374.80000000,61374.90000000,6.40100000,2.80100000,2024-03-01T00:08:52.380000Z,2024-03-01T00:08:52.387000Z,4070971136746
2024-03-01T00:08:53.387000Z,BTCUSDT,61374.80000000,61374.90000000,6.33200000,2.86500000,2024-03-01T00:08:53.387000Z,2024-03-01T00:08:53.393000Z,4070971181945
2024-03-01T00:08:54.390000Z,BTCUSDT,61374.80000000,61374.90000000,6.29300000,3.07900000,2024-03-01T00:08:54.390000Z,2024-03-01T00:08:54.397000Z,4070971224176
2024-03-01T00:08:55.399000Z,BTCUSDT,61374.80000000,61374.90000000,6.37000000,1.05100000,2024-03-01T00:08:55.399000Z,2024-03-01T00:08:55.403000Z,4070971277814
2024-03-01T00:08:56.401000Z,BTCUSDT,61379.40000000,61379.50000000,8.33300000,0.13300000,2024-03-01T00:08:56.401000Z,2024-03-01T00:08:56.405000Z,4070971345868
2024-03-01T00:08:57.421000Z,BTCUSDT,61388.70000000,61388.80000000,2.06800000,5.97900000,2024-03-01T00:08:57.421000Z,2024-03-01T00:08:57.428000Z,4070971452870
2024-03-01T00:08:58.423000Z,BTCUSDT,61388.70000000,61388.80000000,2.82900000,6.10000000,2024-03-01T00:08:58.423000Z,2024-03-01T00:08:58.427000Z,4070971513383
2024-03-01T00:08:59.424000Z,BTCUSDT,61388.70000000,61388.80000000,2.18100000,3.18900000,2024-03-01T00:08:59.424000Z,2024-03-01T00:08:59.431000Z,4070971561203
2024-03-01T00:09:00.437000Z,BTCUSDT,61383.30000000,61383.40000000,1.39900000,6.41200000,2024-03-01T00:09:00.437000Z,2024-03-01T00:09:00.443000Z,4070971659881
2024-03-01T00:09:01.439000Z,BTCUSDT,61383.30000000,61383.40000000,4.82000000,5.21800000,2024-03-01T00:09:01.439000Z,2024-03-01T00:09:01.445000Z,4070971738930
2024-03-01T00:09:02.447000Z,BTCUSDT,61383.30000000,61383.40000000,5.04600000,1.89700000,2024-03-01T00:09:02.447000Z,2024-03-01T00:09:02.452000Z,4070971797150
2024-03-01T00:09:03.501000Z,BTCUSDT,61383.30000000,61383.40000000,5.02700000,2.85000000,2024-03-01T00:09:03.501000Z,2024-03-01T00:09:03.511000Z,4070971886069
2024-03-01T00:09:04.514000Z,BTCUSDT,61383.30000000,61383.40000000,4.98900000,2.76400000,2024-03-01T00:09:04.514000Z,2024-03-01T00:09:04.520000Z,4070971983169
2024-03-01T00:09:05.536000Z,BTCUSDT,61383.30000000,61383.40000000,3.91500000,2.76900000,2024-03-01T00:09:05.536000Z,2024-03-01T00:09:05.543000Z,4070972087298
2024-03-01T00:09:06.537000Z,BTCUSDT,61383.30000000,61383.40000000,4.22900000,1.69400000,2024-03-01T00:09:06.537000Z,2024-03-01T00:09:06.543000Z,4070972158755
2024-03-01T00:09:07.571000Z,BTCUSDT,61386.30000000,61386.40000000,9.04500000,0.09100000,2024-03-01T00:09:07.571000Z,2024-03-01T00:09:07.577000Z,4070972261993
2024-03-01T00:09:08.579000Z,BTCUSDT,61388.70000000,61388.80000000,15.07300000,1.88300000,2024-03-01T00:09:08.579000Z,2024-03-01T00:09:08.583000Z,4070972342241
2024-03-01T00:09:09.601000Z,BTCUSDT,61399.90000000,61400.00000000,10.93600000,0.21600000,2024-03-01T00:09:09.601000Z,2024-03-01T00:09:09.608000Z,4070972474922
2024-03-01T00:09:10.615000Z,BTCUSDT,61399.90000000,61400.00000000,10.33800000,2.43500000,2024-03-01T00:09:10.615000Z,2024-03-01T00:09:10.622000Z,4070972586646
2024-03-01T00:09:11.634000Z,BTCUSDT,61399.90000000,61400.00000000,10.39200000,3.29900000,2024-03-01T00:09:11.634000Z,2024-03-01T00:09:11.638000Z,4070972662074
2024-03-01T00:09:12.751000Z,BTCUSDT,61399.90000000,61400.00000000,7.74400000,1.86800000,2024-03-01T00:09:12.751000Z,2024-03-01T00:09:12.761000Z,4070972735078
