frequency,sessions_per_week,decision_interval_minutes,n_symbols,approval_latency_minutes,review_base_minutes,review_minutes_per_order,expiry_minutes,weekly_budget_minutes,chain_compute_p95_ms,attention_minutes_per_session,effective_latency_minutes,session_wall_minutes,weekly_attention_minutes,expiry_ok,backlog_ok,budget_ok,feasible,binding_constraints,session_of_first_expiry,auto_approval_fraction_for_budget
weekly,1.0,10080.0,24,5.0,2.0,0.2,1440.0,60.0,157.3469,6.8,6.8,6.802622,6.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,24,15.0,2.0,0.2,1440.0,60.0,157.3469,6.8,15.0,15.002622,6.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,24,60.0,2.0,0.2,1440.0,60.0,157.3469,6.8,60.0,60.002622,6.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,25,1.0,2.0,0.2,1440.0,60.0,157.9583,7.0,7.0,7.002633,7.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,25,5.0,2.0,0.2,1440.0,60.0,157.9583,7.0,7.0,7.002633,7.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,25,15.0,2.0,0.2,1440.0,60.0,157.9583,7.0,15.0,15.002633,7.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,25,60.0,2.0,0.2,1440.0,60.0,157.9583,7.0,60.0,60.002633,7.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,26,1.0,2.0,0.2,1440.0,60.0,157.8472,7.2,7.2,7.202631,7.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,26,5.0,2.0,0.2,1440.0,60.0,157.8472,7.2,7.2,7.202631,7.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,26,15.0,2.0,0.2,1440.0,60.0,157.8472,7.2,15.0,15.002631,7.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,26,60.0,2.0,0.2,1440.0,60.0,157.8472,7.2,60.0,60.002631,7.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,27,1.0,2.0,0.2,1440.0,60.0,157.7361,7.4,7.4,7.402629,7.4,True,True,True,True,,,0.0
weekly,1.0,10080.0,27,5.0,2.0,0.2,1440.0,60.0,157.7361,7.4,7.4,7.402629,7.4,True,True,True,True,,,0.0
weekly,1.0,10080.0,27,15.0,2.0,0.2,1440.0,60.0,157.7361,7.4,15.0,15.002629,7.4,True,True,True,True,,,0.0
weekly,1.0,10080.0,27,60.0,2.0,0.2,1440.0,60.0,157.7361,7.4,60.0,60.002629,7.4,True,True,True,True,,,0.0
weekly,1.0,10080.0,28,1.0,2.0,0.2,1440.0,60.0,157.625,7.6,7.6,7.602627,7.6,True,True,True,True,,,0.0
weekly,1.0,10080.0,28,5.0,2.0,0.2,1440.0,60.0,157.625,7.6,7.6,7.602627,7.6,True,True,True,True,,,0.0
weekly,1.0,10080.0,28,15.0,2.0,0.2,1440.0,60.0,157.625,7.6,15.0,15.002627,7.6,True,True,True,True,,,0.0
weekly,1.0,10080.0,28,60.0,2.0,0.2,1440.0,60.0,157.625,7.6,60.0,60.002627,7.6,True,True,True,True,,,0.0
weekly,1.0,10080.0,29,1.0,2.0,0.2,1440.0,60.0,157.5139,7.8,7.8,7.802625,7.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,29,5.0,2.0,0.2,1440.0,60.0,157.5139,7.8,7.8,7.802625,7.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,29,15.0,2.0,0.2,1440.0,60.0,157.5139,7.8,15.0,15.002625,7.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,29,60.0,2.0,0.2,1440.0,60.0,157.5139,7.8,60.0,60.002625,7.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,30,1.0,2.0,0.2,1440.0,60.0,157.4028,8.0,8.0,8.002623,8.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,30,5.0,2.0,0.2,1440.0,60.0,157.4028,8.0,8.0,8.002623,8.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,30,15.0,2.0,0.2,1440.0,60.0,157.4028,8.0,15.0,15.002623,8.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,30,60.0,2.0,0.2,1440.0,60.0,157.4028,8.0,60.0,60.002623,8.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,31,1.0,2.0,0.2,1440.0,60.0,157.2917,8.2,8.2,8.202622,8.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,31,5.0,2.0,0.2,1440.0,60.0,157.2917,8.2,8.2,8.202622,8.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,31,15.0,2.0,0.2,1440.0,60.0,157.2917,8.2,15.0,15.002622,8.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,31,60.0,2.0,0.2,1440.0,60.0,157.2917,8.2,60.0,60.002622,8.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,32,1.0,2.0,0.2,1440.0,60.0,157.1806,8.4,8.4,8.40262,8.4,True,True,True,True,,,0.0
weekly,1.0,10080.0,32,5.0,2.0,0.2,1440.0,60.0,157.1806,8.4,8.4,8.40262,8.4,True,True,True,True,,,0.0
weekly,1.0,10080.0,32,15.0,2.0,0.2,1440.0,60.0,157.1806,8.4,15.0,15.00262,8.4,True,True,True,True,,,0.0
weekly,1.0,10080.0,32,60.0,2.0,0.2,1440.0,60.0,157.1806,8.4,60.0,60.00262,8.4,True,True,True,True,,,0.0
weekly,1.0,10080.0,33,1.0,2.0,0.2,1440.0,60.0,157.0695,8.6,8.6,8.602618,8.6,True,True,True,True,,,0.0
weekly,1.0,10080.0,33,5.0,2.0,0.2,1440.0,60.0,157.0695,8.6,8.6,8.602618,8.6,True,True,True,True,,,0.0
weekly,1.0,10080.0,33,15.0,2.0,0.2,1440.0,60.0,157.0695,8.6,15.0,15.002618,8.6,True,True,True,True,,,0.0
weekly,1.0,10080.0,33,60.0,2.0,0.2,1440.0,60.0,157.0695,8.6,60.0,60.002618,8.6,True,True,True,True,,,0.0
weekly,1.0,10080.0,34,1.0,2.0,0.2,1440.0,60.0,156.9584,8.8,8.8,8.802616,8.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,34,5.0,2.0,0.2,1440.0,60.0,156.9584,8.8,8.8,8.802616,8.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,34,15.0,2.0,0.2,1440.0,60.0,156.9584,8.8,15.0,15.002616,8.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,34,60.0,2.0,0.2,1440.0,60.0,156.9584,8.8,60.0,60.002616,8.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,35,1.0,2.0,0.2,1440.0,60.0,156.8473,9.0,9.0,9.002614,9.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,35,5.0,2.0,0.2,1440.0,60.0,156.8473,9.0,9.0,9.002614,9.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,35,15.0,2.0,0.2,1440.0,60.0,156.8473,9.0,15.0,15.002614,9.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,35,60.0,2.0,0.2,1440.0,60.0,156.8473,9.0,60.0,60.002614,9.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,36,1.0,2.0,0.2,1440.0,60.0,156.7362,9.2,9.2,9.202612,9.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,36,5.0,2.0,0.2,1440.0,60.0,156.7362,9.2,9.2,9.202612,9.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,36,15.0,2.0,0.2,1440.0,60.0,156.7362,9.2,15.0,15.002612,9.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,36,60.0,2.0,0.2,1440.0,60.0,156.7362,9.2,60.0,60.002612,9.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,37,1.0,2.0,0.2,1440.0,60.0,156.6251,9.4,9.4,9.40261,9.4,True,True,True,True,,,0.0
weekly,1.0,10080.0,37,5.0,2.0,0.2,1440.0,60.0,156.6251,9.4,9.4,9.40261,9.4,True,True,True,True,,,0.0
weekly,1.0,10080.0,37,15.0,2.0,0.2,1440.0,60.0,156.6251,9.4,15.0,15.00261,9.4,True,True,True,True,,,0.0
weekly,1.0,10080.0,37,60.0,2.0,0.2,1440.0,60.0,156.6251,9.4,60.0,60.00261,9.4,True,True,True,True,,,0.0
weekly,1.0,10080.0,38,1.0,2.0,0.2,1440.0,60.0,156.514,9.6,9.6,9.602609,9.6,True,True,True,True,,,0.0
weekly,1.0,10080.0,38,5.0,2.0,0.2,1440.0,60.0,156.514,9.6,9.6,9.602609,9.6,True,True,True,True,,,0.0
weekly,1.0,10080.0,38,15.0,2.0,0.2,1440.0,60.0,156.514,9.6,15.0,15.002609,9.6,True,True,True,True,,,0.0
