metric,estimand,estimate,ci95_low,ci95_high,seed_clusters,base_pairs,bootstrap_draws,cluster_se,t9_ci_low,t9_ci_high,leave_one_seed_low,leave_one_seed_high
risk_violation_count,execution_within_I0,2.9955555555555557,2.4621666666666666,3.555555555555556,10,450,10000,0.30101428902094896,2.314613925525382,3.6764971855857294,2.832098765432099,3.1358024691358026
risk_violation_count,execution_within_I1,3.1288888888888886,2.6644444444444444,3.6511111111111116,10,450,10000,0.27312749451105706,2.5110315708083073,3.74674620696947,2.945679012345679,3.2493827160493827
risk_violation_count,response_origin_within_X0,-1.537777777777778,-2.7955555555555556,-0.32000000000000006,10,450,10000,0.6752029619162828,-3.065192994457001,-0.010362561098555156,-1.8617283950617285,-1.1901234567901235
risk_violation_count,response_origin_within_X1,-1.4044444444444444,-2.535555555555556,-0.2977777777777778,10,450,10000,0.6177866594973941,-2.801974961342181,-0.006913927546707832,-1.7160493827160495,-1.1012345679012345
risk_violation_count,interaction,0.13333333333333333,-0.026666666666666665,0.29333333333333333,10,450,10000,0.08752032881624848,-0.06465140539368919,0.33131807206035585,0.07901234567901234,0.18765432098765433
risk_violation_count,execution_shapley,3.062222222222222,2.564416666666667,3.594472222222221,10,450,10000,0.28405837998079086,2.4196375232799445,3.7048069211645,2.888888888888889,3.1925925925925926
risk_violation_count,response_origin_shapley,-1.471111111111111,-2.666666666666667,-0.31333333333333335,10,450,10000,0.6456506379054459,-2.931674326350234,-0.010547895871988233,-1.7888888888888888,-1.1506172839506172
risk_violation_count,observed_diagonal,1.5911111111111111,0.3866111111111111,2.81561111111111,10,450,10000,0.6572102990893257,0.10439812552470795,3.0778240966975146,1.237037037037037,1.962962962962963
trajectory_reproducibility_coverage,execution_within_I0,0.0,0.0,0.0,10,450,10000,0.0,0.0,0.0,0.0,0.0
trajectory_reproducibility_coverage,execution_within_I1,0.0,0.0,0.0,10,450,10000,0.0,0.0,0.0,0.0,0.0
trajectory_reproducibility_coverage,response_origin_within_X0,0.0,0.0,0.0,10,450,10000,0.0,0.0,0.0,0.0,0.0
trajectory_reproducibility_coverage,response_origin_within_X1,0.0,0.0,0.0,10,450,10000,0.0,0.0,0.0,0.0,0.0
trajectory_reproducibility_coverage,interaction,0.0,0.0,0.0,10,450,10000,0.0,0.0,0.0,0.0,0.0
trajectory_reproducibility_coverage,execution_shapley,0.0,0.0,0.0,10,450,10000,0.0,0.0,0.0,0.0,0.0
trajectory_reproducibility_coverage,response_origin_shapley,0.0,0.0,0.0,10,450,10000,0.0,0.0,0.0,0.0,0.0
trajectory_reproducibility_coverage,observed_diagonal,0.0,0.0,0.0,10,450,10000,0.0,0.0,0.0,0.0,0.0
