model_id,scenario_id,metric,estimand,estimate,base_pairs,seed_clusters
glm-5,synthetic_calm_trend_c0_v0_3,sharpe,interaction,2.6646432694042996,30,10
glm-5,synthetic_calm_trend_c0_v0_3,sharpe,execution_shapley,-5.825551350331916,30,10
glm-5,synthetic_calm_trend_c0_v0_3,sharpe,response_origin_shapley,0.8210169257556501,30,10
glm-5,synthetic_calm_trend_c0_v0_3,sharpe,observed_diagonal,-5.004534424576266,30,10
glm-5,synthetic_high_volatility_c0_v0_3,total_return,execution_within_I0,-0.02617264934166667,30,10
glm-5,synthetic_high_volatility_c0_v0_3,total_return,execution_within_I1,-0.020208881238466665,30,10
glm-5,synthetic_high_volatility_c0_v0_3,total_return,response_origin_within_X0,-0.0054237380125,30,10
glm-5,synthetic_high_volatility_c0_v0_3,total_return,response_origin_within_X1,0.0005400300907000022,30,10
glm-5,synthetic_high_volatility_c0_v0_3,total_return,interaction,0.005963768103200005,30,10
glm-5,synthetic_high_volatility_c0_v0_3,total_return,execution_shapley,-0.023190765290066667,30,10
glm-5,synthetic_high_volatility_c0_v0_3,total_return,response_origin_shapley,-0.002441853960899999,30,10
glm-5,synthetic_high_volatility_c0_v0_3,total_return,observed_diagonal,-0.025632619250966666,30,10
glm-5,synthetic_high_volatility_c0_v0_3,sharpe,execution_within_I0,-3.2187981640189,30,10
glm-5,synthetic_high_volatility_c0_v0_3,sharpe,execution_within_I1,-1.6940613070792334,30,10
glm-5,synthetic_high_volatility_c0_v0_3,sharpe,response_origin_within_X0,-0.3043389805132332,30,10
glm-5,synthetic_high_volatility_c0_v0_3,sharpe,response_origin_within_X1,1.2203978764264334,30,10
glm-5,synthetic_high_volatility_c0_v0_3,sharpe,interaction,1.5247368569396664,30,10
glm-5,synthetic_high_volatility_c0_v0_3,sharpe,execution_shapley,-2.4564297355490665,30,10
glm-5,synthetic_high_volatility_c0_v0_3,sharpe,response_origin_shapley,0.4580294479566001,30,10
glm-5,synthetic_high_volatility_c0_v0_3,sharpe,observed_diagonal,-1.9984002875924667,30,10
glm-5,synthetic_jump_tail_c0_v0_3,total_return,execution_within_I0,-0.0484713388151,30,10
glm-5,synthetic_jump_tail_c0_v0_3,total_return,execution_within_I1,-0.025942045414333335,30,10
glm-5,synthetic_jump_tail_c0_v0_3,total_return,response_origin_within_X0,-0.007948827161766665,30,10
