window,level,agent,seed,total_return,sharpe,execution_fill_rate,turnover_events
rates_drawdown_2022,E2_harsh_corner,risk-parity,3,0.16148280142450755,2.2049626036622296,0.6527777777777778,235
rates_drawdown_2022,E2_harsh_corner,risk-parity,4,0.14105757036861521,1.7747015855300796,0.6222222222222222,224
rates_drawdown_2022,E2_harsh_corner,risk-parity,5,0.22963318911437147,2.5809052932283105,0.6239554317548747,224
rates_drawdown_2022,E2_harsh_corner,risk-parity,6,0.06061752789348729,0.7815526413510174,0.6183844011142061,222
rates_drawdown_2022,E2_harsh_corner,risk-parity,7,0.08879883460878157,1.1537020345433728,0.6462395543175488,232
rates_drawdown_2022,E2_harsh_corner,risk-parity,8,0.020813014703726207,0.33148456538608706,0.6472222222222223,233
rates_drawdown_2022,E2_harsh_corner,risk-parity,9,0.14901545715738806,1.6889001815997267,0.6155988857938719,221
rates_drawdown_2022,E2_harsh_corner,risk-parity,10,0.035000293737103894,0.5045749477277691,0.6434540389972145,231
rates_drawdown_2022,E2_harsh_corner,minimum-variance,1,0.16669316447393445,1.9134243406818756,0.65,234
rates_drawdown_2022,E2_harsh_corner,minimum-variance,2,0.04184109504410216,0.5508950688955391,0.6416666666666667,231
rates_drawdown_2022,E2_harsh_corner,minimum-variance,3,0.07015818655996386,0.9392060448609874,0.6703910614525139,240
rates_drawdown_2022,E2_harsh_corner,minimum-variance,4,0.09304346002445363,1.203612150447088,0.6536312849162011,234
rates_drawdown_2022,E2_harsh_corner,minimum-variance,5,0.24102304192916857,2.7530402043296953,0.6861111111111111,247
rates_drawdown_2022,E2_harsh_corner,minimum-variance,6,0.11263701594544173,1.402670786880677,0.6472222222222223,233
rates_drawdown_2022,E2_harsh_corner,minimum-variance,7,0.10209080323529962,1.304676581740944,0.6777777777777778,244
rates_drawdown_2022,E2_harsh_corner,minimum-variance,8,0.08367660783662423,1.0109961435544796,0.6444444444444445,232
rates_drawdown_2022,E2_harsh_corner,minimum-variance,9,0.036757572140622585,0.5145678317776579,0.6424581005586593,230
rates_drawdown_2022,E2_harsh_corner,minimum-variance,10,0.0270028075261326,0.40746303212259255,0.6555555555555556,236
rates_drawdown_2022,E2_harsh_corner,random,1,0.20332808949760417,2.5132634804913816,0.6435045317220544,213
rates_drawdown_2022,E2_harsh_corner,random,2,-0.0251808362874133,-0.30906485555245783,0.5714285714285714,196
rates_drawdown_2022,E2_harsh_corner,random,3,0.017162504434904413,0.3355671736428887,0.6970588235294117,237
rates_drawdown_2022,E2_harsh_corner,random,4,0.01737321897488031,0.30886243615121456,0.6287425149700598,210
rates_drawdown_2022,E2_harsh_corner,random,5,0.13120564737430662,1.751218929916523,0.5722713864306784,194
rates_drawdown_2022,E2_harsh_corner,random,6,0.08524004450374667,1.640495067852719,0.6895522388059702,231
rates_drawdown_2022,E2_harsh_corner,random,7,0.026939676268942447,0.44141861601226623,0.6596385542168675,219
rates_drawdown_2022,E2_harsh_corner,random,8,0.0649830497258097,0.9557424556581817,0.6388888888888888,207
rates_drawdown_2022,E2_harsh_corner,random,9,0.07863793773139505,1.1900657342819705,0.6146788990825688,201
rates_drawdown_2022,E2_harsh_corner,random,10,0.085076377574689,1.1445947808608659,0.6035502958579881,204
recent_cross_asset,E0_ideal,buy-and-hold,1,0.3835003960569279,4.0131188462942005,0.9104046242774566,315
recent_cross_asset,E0_ideal,buy-and-hold,2,0.1788031326108348,2.0799386158640973,0.893491124260355,302
recent_cross_asset,E0_ideal,buy-and-hold,3,0.25952241419502986,3.1920087960263035,0.8953488372093024,308
recent_cross_asset,E0_ideal,buy-and-hold,4,0.31700247634355705,3.501422120269871,0.8941176470588236,304
recent_cross_asset,E0_ideal,buy-and-hold,5,0.42080183131181936,4.631194270437625,0.8898550724637682,307
recent_cross_asset,E0_ideal,buy-and-hold,6,0.24710279135470348,2.973132868774677,0.8852941176470588,301
recent_cross_asset,E0_ideal,buy-and-hold,7,0.2645126813519181,3.0020302643386154,0.9142857142857143,320
recent_cross_asset,E0_ideal,buy-and-hold,8,0.23138307846450434,2.6770089115418645,0.8918128654970761,305
recent_cross_asset,E0_ideal,buy-and-hold,9,0.31438059621968284,3.3329918007202886,0.8852941176470588,301
recent_cross_asset,E0_ideal,buy-and-hold,10,0.23976065631093424,2.6707948282880616,0.9069767441860465,312
recent_cross_asset,E0_ideal,signal-weighted,1,0.5436109693378568,9.416300461169337,0.9481865284974094,183
recent_cross_asset,E0_ideal,signal-weighted,2,0.45231224671865866,8.594135622325348,0.9720670391061452,174
recent_cross_asset,E0_ideal,signal-weighted,3,0.45706985294986047,9.072669192441163,0.968421052631579,184
recent_cross_asset,E0_ideal,signal-weighted,4,0.4566202893603035,8.43160790538763,0.978494623655914,182
recent_cross_asset,E0_ideal,signal-weighted,5,0.5029091904625229,9.765067144998596,0.9702970297029703,196
recent_cross_asset,E0_ideal,signal-weighted,6,0.4419060515394344,8.740297783682104,0.9534883720930233,164
recent_cross_asset,E0_ideal,signal-weighted,7,0.4520751266014378,8.378314734756659,0.9689119170984456,187
